2015-06-29,2015-07-05,0,
2015-07-06,2015-07-12,0,
2015-07-13,2015-07-19,0,
2015-07-20,2015-07-26,0,
2015-07-27,2015-08-02,0,
2015-08-03,2015-08-09,0,
2015-08-10,2015-08-16,0,
2015-08-17,2015-08-23,0,
2015-08-24,2015-08-30,0,
2015-08-31,2015-09-06,0,
2015-09-07,2015-09-13,0,
2015-09-14,2015-09-20,0,
2015-09-21,2015-09-27,0,
2015-09-28,2015-10-04,0,
2015-10-05,2015-10-11,0,
2015-10-12,2015-10-18,0,
2015-10-19,2015-10-25,0,
2015-10-26,2015-11-01,0,
2015-11-02,2015-11-08,0,
2015-11-09,2015-11-15,0,
2015-11-16,2015-11-22,0,
2015-11-23,2015-11-29,0,
2015-11-30,2015-12-06,0,
2015-12-07,2015-12-13,0,
2015-12-14,2015-12-20,0,
2015-12-21,2015-12-27,4,
2015-12-28,2016-01-03,0,
2016-01-04,2016-01-10,0,
2016-01-11,2016-01-17,0,
2016-01-18,2016-01-24,0,
2016-01-25,2016-01-31,0,
2016-02-01,2016-02-07,0,
2016-02-08,2016-02-14,48,
2016-02-15,2016-02-21,0,
2016-02-22,2016-02-28,0,
2016-02-29,2016-03-06,0,
2016-03-07,2016-03-13,0,
2016-03-14,2016-03-20,0,
2016-03-21,2016-03-27,0,
2016-03-28,2016-04-03,0,
2016-04-04,2016-04-10,0,
2016-04-11,2016-04-17,0,
2016-04-18,2016-04-24,0,
2016-04-25,2016-05-01,0,
2016-05-02,2016-05-08,0,
2016-05-09,2016-05-15,0,
2016-05-16,2016-05-22,0,
2016-05-23,2016-05-29,0,
2016-05-30,2016-06-05,0,
2016-06-06,2016-06-12,0,
2016-06-13,2016-06-19,0,
2016-06-20,2016-06-26,0,
2016-06-27,2016-07-03,104,
2016-07-04,2016-07-10,123,
2016-07-11,2016-07-17,56,
2016-07-18,2016-07-24,130,
2016-07-25,2016-07-31,0,
2016-08-01,2016-08-07,0,
2016-08-08,2016-08-14,0,
2016-08-15,2016-08-21,0,
2016-08-22,2016-08-28,0,
2016-08-29,2016-09-04,0,
2016-09-05,2016-09-11,0,
2016-09-12,2016-09-18,0,
2016-09-19,2016-09-25,0,
2016-09-26,2016-10-02,0,
2016-10-03,2016-10-09,114,
2016-10-10,2016-10-16,129,
2016-10-17,2016-10-23,15,
2016-10-24,2016-10-30,92,
2016-10-31,2016-11-06,69,
2016-11-07,2016-11-13,12,
2016-11-14,2016-11-20,0,
2016-11-21,2016-11-27,251,
2016-11-28,2016-12-04,188,
2016-12-05,2016-12-11,218,
2016-12-12,2016-12-18,0,
2016-12-19,2016-12-25,48,
2016-12-26,2017-01-01,150,
2017-01-02,2017-01-08,88,
2017-01-09,2017-01-15,0,
2017-01-16,2017-01-22,0,
2017-01-23,2017-01-29,72,
2017-01-30,2017-02-05,119,
2017-02-06,2017-02-12,70,
2017-02-13,2017-02-19,46,
2017-02-20,2017-02-26,0,
2017-02-27,2017-03-05,57,
2017-03-06,2017-03-12,145,
2017-03-13,2017-03-19,88,
2017-03-20,2017-03-26,253,
2017-03-27,2017-04-02,130,
2017-04-03,2017-04-09,102,
2017-04-10,2017-04-16,40,
2017-04-17,2017-04-23,138,
2017-04-24,2017-04-30,89,
2017-05-01,2017-05-07,38,
2017-05-08,2017-05-14,152,
2017-05-15,2017-05-21,17,
2017-05-22,2017-05-28,84,
2017-05-29,2017-06-04,31,
2017-06-05,2017-06-11,210,
2017-06-12,2017-06-18,78,
2017-06-19,2017-06-25,32,
2017-06-26,2017-07-02,67,
2017-07-03,2017-07-09,117,
2017-07-10,2017-07-16,0,
2017-07-17,2017-07-23,220,
2017-07-24,2017-07-30,55,
2017-07-31,2017-08-06,178,
2017-08-07,2017-08-13,35,
2017-08-14,2017-08-20,25,
2017-08-21,2017-08-27,2,
2017-08-28,2017-09-03,179,
2017-09-04,2017-09-10,91,
2017-09-11,2017-09-17,90,
2017-09-18,2017-09-24,143,
2017-09-25,2017-10-01,28,
2017-10-02,2017-10-08,116,
2017-10-09,2017-10-15,1,
2017-10-16,2017-10-22,72,
2017-10-23,2017-10-29,115,
2017-10-30,2017-11-05,174,
2017-11-06,2017-11-12,0,
2017-11-13,2017-11-19,121,
2017-11-20,2017-11-26,0,
2017-11-27,2017-12-03,42,
2017-12-04,2017-12-10,0,
2017-12-11,2017-12-17,0,
2017-12-18,2017-12-24,0,
2017-12-25,2017-12-31,0,
2018-01-01,2018-01-07,0,
2018-01-08,2018-01-14,76,
2018-01-15,2018-01-21,0,
2018-01-22,2018-01-28,0,
2018-01-29,2018-02-04,0,
2018-02-05,2018-02-11,0,
2018-02-12,2018-02-18,110,
2018-02-19,2018-02-25,0,
2018-02-26,2018-03-04,79,
2018-03-05,2018-03-11,0,
2018-03-12,2018-03-18,168,
2018-03-19,2018-03-25,73,
2018-03-26,2018-04-01,0,
2018-04-02,2018-04-08,0,
2018-04-09,2018-04-15,22,
2018-04-16,2018-04-22,2,
2018-04-23,2018-04-29,175,
2018-04-30,2018-05-06,32,
2018-05-07,2018-05-13,32,
2018-05-14,2018-05-20,133,
2018-05-21,2018-05-27,138,
2018-05-28,2018-06-03,0,
2018-06-04,2018-06-10,204,
2018-06-11,2018-06-17,89,
2018-06-18,2018-06-24,130,
2018-06-25,2018-07-01,0,
2018-07-02,2018-07-08,77,
2018-07-09,2018-07-15,0,
2018-07-16,2018-07-22,175,
2018-07-23,2018-07-29,90,
2018-07-30,2018-08-05,10,
2018-08-06,2018-08-12,0,
2018-08-13,2018-08-19,17,
2018-08-20,2018-08-26,25,
2018-08-27,2018-09-02,25,
2018-09-03,2018-09-09,6,
2018-09-10,2018-09-16,18,
2018-09-17,2018-09-23,23,
2018-09-24,2018-09-30,0,
2018-10-01,2018-10-07,0,
